latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.1936,-1.7075,328,1.1,1.1,2023-01-01,1033,Terra,MODIS,76,61.03,308.7,19.7,D,0
9.1888,-1.6767,321.2,1.2,1.1,2023-01-01,1033,Terra,MODIS,62,61.03,305.5,11.6,D,0
9.0484,-0.7751,327,1.3,1.1,2023-01-01,1033,Terra,MODIS,47,61.03,309.7,16.6,D,0
9.1804,-1.9119,322.1,1.1,1.1,2023-01-01,1033,Terra,MODIS,65,61.03,308.9,9,D,0
8.848,0.2537,326.4,1.5,1.2,2023-01-01,1033,Terra,MODIS,75,61.03,307.8,26.2,D,0
9.0752,-1.4763,321.6,1.2,1.1,2023-01-01,1033,Terra,MODIS,58,61.03,308.4,8.3,D,0
8.9727,-0.8163,319.1,1.3,1.1,2023-01-01,1033,Terra,MODIS,37,61.03,307.3,7.4,D,0
8.9708,-0.8048,323.5,1.3,1.1,2023-01-01,1033,Terra,MODIS,67,61.03,308.2,14.5,D,0
8.969,-0.7932,319.8,1.3,1.1,2023-01-01,1033,Terra,MODIS,44,61.03,307.5,9.1,D,0
8.9433,-0.6292,323.3,1.3,1.1,2023-01-01,1033,Terra,MODIS,67,61.03,306,14.3,D,0
9.0818,-1.5826,331.7,1.2,1.1,2023-01-01,1033,Terra,MODIS,80,61.03,307,25.6,D,0
9.0723,-1.584,322.1,1.2,1.1,2023-01-01,1033,Terra,MODIS,63,61.03,306.7,11,D,0
9.0387,-1.5849,320.6,1.2,1.1,2023-01-01,1033,Terra,MODIS,57,61.03,309.1,7.9,D,0
8.9985,-1.3202,325.2,1.2,1.1,2023-01-01,1033,Terra,MODIS,70,61.03,305.9,17.3,D,0
8.9057,-0.714,351.6,1.3,1.1,2023-01-01,1033,Terra,MODIS,95,61.03,308.4,81.4,D,0
8.9039,-0.7022,323.8,1.3,1.1,2023-01-01,1033,Terra,MODIS,55,61.03,306.3,14,D,0
8.8956,-0.7156,325.6,1.3,1.1,2023-01-01,1033,Terra,MODIS,72,61.03,308.9,17.6,D,0
8.8416,-0.3664,319.8,1.4,1.2,2023-01-01,1033,Terra,MODIS,55,61.03,307.8,10.6,D,0
9.037,-1.7016,345,1.2,1.1,2023-01-01,1033,Terra,MODIS,91,61.03,308,51.1,D,0
8.9421,-1.0824,325.2,1.3,1.1,2023-01-01,1033,Terra,MODIS,63,61.03,309.1,14.3,D,0
8.9283,-0.9929,324.1,1.3,1.1,2023-01-01,1033,Terra,MODIS,69,61.03,308.8,14.4,D,0
8.9265,-0.9817,326.7,1.3,1.1,2023-01-01,1033,Terra,MODIS,73,61.03,308.2,19.1,D,0
9.0647,-1.946,319.7,1.1,1.1,2023-01-01,1033,Terra,MODIS,52,61.03,307.6,7.6,D,0
9.0276,-1.7031,323.4,1.2,1.1,2023-01-01,1033,Terra,MODIS,66,61.03,306.9,12.4,D,0
8.9339,-1.095,337.4,1.3,1.1,2023-01-01,1033,Terra,MODIS,85,61.03,307.9,35.5,D,0
8.9322,-1.084,345,1.3,1.1,2023-01-01,1033,Terra,MODIS,91,61.03,309.9,53.9,D,0
8.9305,-1.0729,323.5,1.3,1.1,2023-01-01,1033,Terra,MODIS,44,61.03,310.4,10.5,D,0
9.0134,-1.7367,320.7,1.2,1.1,2023-01-01,1033,Terra,MODIS,13,61.03,305.9,8.4,D,0
8.8572,-0.7335,322.4,1.3,1.1,2023-01-01,1033,Terra,MODIS,65,61.03,309.4,11.9,D,0
9.0055,-1.7483,323,1.1,1.1,2023-01-01,1033,Terra,MODIS,37,61.03,307.3,10.4,D,0
8.9353,-1.2967,319.1,1.2,1.1,2023-01-01,1033,Terra,MODIS,48,61.03,306.4,8.9,D,0
8.9995,-1.7445,321.8,1.2,1.1,2023-01-01,1033,Terra,MODIS,63,61.03,306.4,9.9,D,0
8.8822,-1.0973,323.6,1.3,1.1,2023-01-01,1033,Terra,MODIS,66,61.03,309.8,11.3,D,0
8.9864,-1.9126,321,1.1,1.1,2023-01-01,1033,Terra,MODIS,61,61.03,308.6,8.9,D,0
8.776,-0.6065,330,1.3,1.2,2023-01-01,1033,Terra,MODIS,78,61.03,309.2,23.8,D,0
8.9381,-1.7853,332.1,1.1,1.1,2023-01-01,1033,Terra,MODIS,80,61.03,307.4,25.2,D,0
8.9287,-1.7867,320.8,1.1,1.1,2023-01-01,1033,Terra,MODIS,60,61.03,305.2,9.5,D,0
8.7861,-0.8691,325.1,1.3,1.1,2023-01-01,1033,Terra,MODIS,71,61.03,308.4,17.3,D,0
8.8809,-1.5677,321.9,1.2,1.1,2023-01-01,1033,Terra,MODIS,57,61.03,307.2,9.5,D,0
8.8729,-1.5797,332.6,1.2,1.1,2023-01-01,1033,Terra,MODIS,81,61.03,306.3,25.4,D,0
8.8713,-1.5692,341,1.2,1.1,2023-01-01,1033,Terra,MODIS,89,61.03,309,41.9,D,0
8.8586,-1.5497,319.4,1.2,1.1,2023-01-01,1033,Terra,MODIS,33,61.03,307.5,7.7,D,0
8.7063,-0.6846,322.6,1.3,1.1,2023-01-01,1033,Terra,MODIS,67,61.03,310,10.5,D,0
8.8863,-1.9241,321.1,1.1,1.1,2023-01-01,1033,Terra,MODIS,62,61.03,305.2,10.8,D,0
8.8848,-1.914,319.5,1.1,1.1,2023-01-01,1033,Terra,MODIS,57,61.03,305.3,9.3,D,0
8.8916,-2.1466,323.8,1.1,1,2023-01-01,1033,Terra,MODIS,69,61.03,309.6,11.3,D,0
8.6214,-0.4759,324,1.4,1.2,2023-01-01,1033,Terra,MODIS,70,61.03,310.7,12.6,D,0
8.9176,-2.4946,321.8,1.1,1,2023-01-01,1033,Terra,MODIS,66,61.03,308.8,7.8,D,0
8.6125,-0.4706,332.7,1.4,1.2,2023-01-01,1033,Terra,MODIS,82,61.03,309.8,30.1,D,0
8.7926,-1.7884,319.4,1.2,1.1,2023-01-01,1033,Terra,MODIS,52,61.03,306.3,7.5,D,0
8.8047,-1.9317,321,1.1,1.1,2023-01-01,1033,Terra,MODIS,63,61.03,306.9,9.5,D,0
8.7847,-1.8,318.4,1.1,1.1,2023-01-01,1033,Terra,MODIS,17,61.03,306.4,7,D,0
8.8506,-2.2984,318,1.1,1,2023-01-01,1033,Terra,MODIS,53,61.03,305.8,7.6,D,0
8.7753,-1.8014,335,1.1,1.1,2023-01-01,1033,Terra,MODIS,84,61.03,307.4,30,D,0
8.7951,-1.9946,326.5,1.1,1.1,2023-01-01,1033,Terra,MODIS,74,61.03,307.3,16,D,0
8.614,-0.8842,321.5,1.3,1.1,2023-01-01,1033,Terra,MODIS,54,61.03,308.6,9.7,D,0
8.7946,-2.1167,318.2,1.1,1.1,2023-01-01,1033,Terra,MODIS,53,61.03,306.3,7,D,0
8.6864,-1.5665,320.7,1.2,1.1,2023-01-01,1033,Terra,MODIS,56,61.03,308,11.8,D,0
8.7477,-2.0388,320.2,1.1,1.1,2023-01-01,1033,Terra,MODIS,61,61.03,307.9,8.3,D,0
8.7384,-2.0402,319.6,1.1,1.1,2023-01-01,1033,Terra,MODIS,57,61.03,307.7,7.5,D,0
8.6132,-1.214,321.9,1.2,1.1,2023-01-01,1033,Terra,MODIS,56,61.03,305,13.6,D,0
8.5708,-1.0029,325.5,1.3,1.1,2023-01-01,1033,Terra,MODIS,72,61.03,309.6,13.5,D,0
8.3073,0.6909,315.4,1.7,1.3,2023-01-01,1033,Terra,MODIS,45,61.03,299.6,17.4,D,0
